"Year","Country","Suspected source","Observation status","Value"
2016,"Scotland","","Normal value",188.5
2017,"Scotland","","Normal value",156
2018,"Scotland","","Normal value",174
2019,"Scotland","","Normal value",115.5
2020,"Scotland","","Normal value",132
2021,"Scotland","","Normal value",115.5
2008,"Wales","","Low reliability",382
2009,"Wales","","Low reliability",387
2010,"Wales","","Low reliability",245
2011,"Wales","","Low reliability",224
2012,"Wales","","Low reliability",336
2013,"Wales","","Low reliability",391
2014,"Wales","","Low reliability",387
2015,"Wales","","Normal value",244
2016,"Wales","","Low reliability",416
2017,"Wales","","Low reliability",266
2018,"Wales","","Normal value",181.5
2019,"Wales","","Low reliability",184
2020,"Wales","","Low reliability",76
2021,"Wales","","Low reliability",231.5
2008,"England","","Normal value",189.5
2009,"England","","Normal value",382
2010,"England","","Normal value",357
2011,"England","","Normal value",260
2012,"England","","Normal value",347
2013,"England","","Normal value",380
2014,"England","","Normal value",432
2015,"England","","Normal value",370
2016,"England","","Normal value",303
2017,"England","","Normal value",291
2018,"England","","Normal value",173
2019,"England","","Normal value",186
2020,"England","","Normal value",127.5
2021,"England","","Normal value",150
2008,"","","Normal value",265
2009,"","","Normal value",322
2010,"","","Normal value",330
2011,"","","Normal value",260
2012,"","","Normal value",340.5
2013,"","","Normal value",333.5
2014,"","","Normal value",399
2015,"","","Normal value",271
2016,"","","Normal value",235
2017,"","","Normal value",225
2018,"","","Normal value",174
2019,"","","Normal value",167
2020,"","","Normal value",122.5
2021,"","","Normal value",139.5
